client_id,contact,contact_duration,number_contacts,pdays,previous_campaing_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
47,telephone,178,1,999,0,,0,1,2022-05-03
48,telephone,355,1,999,0,,0,1,2022-05-26
49,telephone,225,2,999,0,,0,1,2022-05-26
50,telephone,160,1,999,0,,0,1,2022-05-03
51,telephone,266,1,999,0,,0,1,2022-05-09
52,telephone,253,1,999,0,,0,1,2022-05-11
53,telephone,179,1,999,0,,0,1,2022-05-13
54,telephone,269,2,999,0,,0,1,2022-05-12
55,telephone,135,1,999,0,,0,1,2022-05-08
56,telephone,161,1,999,0,,0,1,2022-05-17
57,telephone,787,1,999,0,,0,1,2022-05-08
58,telephone,145,1,999,0,,0,1,2022-05-08
59,telephone,174,1,999,0,,0,1,2022-05-18
60,telephone,449,1,999,0,,0,1,2022-05-03
61,telephone,812,1,999,0,,0,1,2022-05-23
62,telephone,164,1,999,0,,0,1,2022-05-27
63,telephone,366,1,999,0,,0,1,2022-05-29
64,telephone,357,1,999,0,,0,1,2022-05-19
65,telephone,232,1,999,0,,0,1,2022-05-15
66,telephone,91,1,999,0,,0,1,2022-05-16
67,telephone,273,1,999,0,,0,1,2022-05-21
68,telephone,158,2,999,0,,0,1,2022-05-29
69,telephone,177,1,999,0,,0,1,2022-05-04
70,telephone,200,1,999,0,,0,1,2022-05-28
71,telephone,172,1,999,0,,0,1,2022-05-26
72,telephone,176,1,999,0,,0,1,2022-05-18
73,telephone,211,1,999,0,,0,1,2022-05-14
74,telephone,214,1,999,0,,0,1,2022-05-26
75,telephone,1575,1,999,0,,1,1,2022-05-20
76,telephone,349,1,999,0,,0,1,2022-05-16
77,telephone,337,2,999,0,,0,1,2022-05-28
78,telephone,272,1,999,0,,0,1,2022-05-30
79,telephone,208,1,999,0,,0,1,2022-05-21
80,telephone,193,1,999,0,,0,1,2022-05-29
81,telephone,212,1,999,0,,0,1,2022-05-29
82,telephone,165,2,999,0,,0,1,2022-05-27
83,telephone,1042,1,999,0,,1,1,2022-05-06
84,telephone,20,1,999,0,,0,1,2022-05-23
85,telephone,246,1,999,0,,0,1,2022-05-12
86,telephone,529,2,999,0,,0,1,2022-05-23
87,telephone,192,1,999,0,,0,1,2022-05-21
88,telephone,1467,1,999,0,,1,1,2022-05-19
89,telephone,188,2,999,0,,0,1,2022-05-17
90,telephone,180,2,999,0,,0,1,2022-05-29
91,telephone,48,1,999,0,,0,1,2022-05-05
92,telephone,213,2,999,0,,0,1,2022-05-02
93,telephone,545,1,999,0,,0,1,2022-05-27
94,telephone,583,1,999,0,,0,1,2022-05-28
95,telephone,221,1,999,0,,0,1,2022-05-25
96,telephone,426,1,999,0,,0,1,2022-05-17
97,telephone,287,1,999,0,,0,1,2022-05-27
98,telephone,197,1,999,0,,0,1,2022-05-30
99,telephone,257,1,999,0,,0,1,2022-05-03
100,telephone,229,1,999,0,,0,1,2022-05-25
101,telephone,55,3,999,0,,0,1,2022-05-30
102,telephone,400,1,999,0,,0,1,2022-05-27
103,telephone,197,1,999,0,,0,1,2022-05-19
104,telephone,190,1,999,0,,0,1,2022-05-24
105,telephone,21,1,999,0,,0,1,2022-05-08
106,telephone,300,2,999,0,,0,1,2022-05-22
107,telephone,123,2,999,0,,0,1,2022-05-09
108,telephone,293,1,999,0,,0,1,2022-05-15
109,telephone,325,1,999,0,,0,1,2022-05-09
110,telephone,514,1,999,0,,0,1,2022-05-04
111,telephone,849,2,999,0,,0,1,2022-05-01
112,telephone,194,1,999,0,,0,1,2022-05-25
113,telephone,212,2,999,0,,0,1,2022-05-04
114,telephone,337,2,999,0,,0,1,2022-05-06
115,telephone,286,1,999,0,,0,1,2022-05-20
116,telephone,247,2,999,0,,0,1,2022-05-31
117,telephone,518,1,999,0,,0,1,2022-05-24
118,telephone,364,1,999,0,,0,1,2022-05-06
119,telephone,178,1,999,0,,0,1,2022-05-26
120,telephone,98,1,999,0,,0,1,2022-05-21
121,telephone,439,1,999,0,,0,1,2022-05-01
122,telephone,139,1,999,0,,0,1,2022-05-18
123,telephone,79,1,999,0,,0,1,2022-05-09
124,telephone,175,1,999,0,,0,1,2022-05-26
125,telephone,262,2,999,0,,0,1,2022-05-21
126,telephone,61,1,999,0,,0,1,2022-05-31
127,telephone,78,1,999,0,,0,1,2022-05-24
128,telephone,102,2,999,0,,0,1,2022-05-23
129,telephone,579,1,999,0,,1,1,2022-05-12
130,telephone,143,1,999,0,,0,1,2022-05-29
131,telephone,677,1,999,0,,0,1,2022-05-20
132,telephone,267,1,999,0,,0,1,2022-05-22
133,telephone,345,1,999,0,,0,1,2022-05-12
134,telephone,185,1,999,0,,0,1,2022-05-19
135,telephone,207,1,999,0,,0,1,2022-05-05
136,telephone,69,2,999,0,,0,1,2022-05-26
137,telephone,100,2,999,0,,0,1,2022-05-19
138,telephone,125,2,999,0,,0,1,2022-05-28
139,telephone,461,1,999,0,,1,1,2022-05-27
140,telephone,240,1,999,0,,0,1,2022-05-16
141,telephone,70,1,999,0,,0,1,2022-05-22
142,telephone,193,1,999,0,,0,1,2022-05-24
143,telephone,136,1,999,0,,0,1,2022-05-17
144,telephone,73,1,999,0,,0,1,2022-05-24
145,telephone,528,1,999,0,,0,1,2022-05-06
146,telephone,541,1,999,0,,0,1,2022-05-11
147,telephone,338,1,999,0,,0,1,2022-05-16
148,telephone,163,1,999,0,,0,1,2022-05-28
149,telephone,87,1,999,0,,0,1,2022-05-25
150,telephone,301,1,999,0,,0,1,2022-05-03
151,telephone,46,1,999,0,,0,1,2022-05-22
152,telephone,52,1,999,0,,0,1,2022-05-08
153,telephone,204,1,999,0,,0,1,2022-05-03
154,telephone,155,1,999,0,,0,1,2022-05-12
155,telephone,98,1,999,0,,0,1,2022-05-15
156,telephone,71,1,999,0,,0,1,2022-05-25
157,telephone,243,1,999,0,,0,1,2022-05-29
158,telephone,186,2,999,0,,0,1,2022-05-07
159,telephone,579,2,999,0,,0,1,2022-05-27
160,telephone,165,2,999,0,,0,1,2022-05-03
161,telephone,163,2,999,0,,0,1,2022-05-09
162,telephone,46,1,999,0,,0,1,2022-05-29
163,telephone,559,3,999,0,,0,1,2022-05-15
164,telephone,2033,1,999,0,,0,1,2022-05-18
165,telephone,85,1,999,0,,0,1,2022-05-22
166,telephone,506,1,999,0,,0,1,2022-05-04
167,telephone,114,2,999,0,,0,1,2022-05-12
168,telephone,114,2,999,0,,0,1,2022-05-19
169,telephone,843,2,999,0,,0,1,2022-05-25
170,telephone,181,1,999,0,,0,1,2022-05-12
171,telephone,427,1,999,0,,0,1,2022-05-05
172,telephone,292,1,999,0,,0,1,2022-05-24
173,telephone,192,1,999,0,,0,1,2022-05-07
174,telephone,93,3,999,0,,0,1,2022-05-02
175,telephone,128,2,999,0,,0,1,2022-05-09
176,telephone,107,1,999,0,,0,1,2022-05-29
177,telephone,303,2,999,0,,0,1,2022-05-13
178,telephone,81,1,999,0,,0,1,2022-05-11
179,telephone,270,1,999,0,,0,1,2022-05-30
180,telephone,228,1,999,0,,0,1,2022-05-12
181,telephone,240,1,999,0,,0,1,2022-05-31
182,telephone,673,2,999,0,,1,1,2022-05-20
183,telephone,233,3,999,0,,0,1,2022-05-08
184,telephone,102,1,999,0,,0,1,2022-05-13
185,telephone,461,1,999,0,,0,1,2022-05-19
186,telephone,250,1,999,0,,0,1,2022-05-20
187,telephone,130,1,999,0,,0,1,2022-05-03
188,telephone,252,1,999,0,,0,1,2022-05-18
189,telephone,138,1,999,0,,0,1,2022-05-19
190,telephone,412,1,999,0,,0,1,2022-05-10
191,telephone,179,2,999,0,,0,1,2022-05-19
192,telephone,19,2,999,0,,0,1,2022-05-07
193,telephone,228,2,999,0,,0,1,2022-05-26
194,telephone,55,1,999,0,,0,1,2022-05-31
195,telephone,717,1,999,0,,0,1,2022-05-06
196,telephone,313,1,999,0,,0,1,2022-05-07
197,telephone,289,1,999,0,,0,1,2022-05-29
198,telephone,683,2,999,0,,0,1,2022-05-25
199,telephone,1077,1,999,0,,0,1,2022-05-29
200,telephone,146,2,999,0,,0,1,2022-05-09
201,telephone,167,1,999,0,,0,1,2022-05-15
202,telephone,356,2,999,0,,0,1,2022-05-20
203,telephone,277,1,999,0,,0,1,2022-05-13
204,telephone,172,1,999,0,,0,1,2022-05-09
205,telephone,218,1,999,0,,0,1,2022-05-10
206,telephone,217,1,999,0,,0,1,2022-05-04
207,telephone,67,1,999,0,,0,1,2022-05-26
208,telephone,291,1,999,0,,0,1,2022-05-08
209,telephone,248,1,999,0,,0,1,2022-05-24
210,telephone,256,1,999,0,,0,1,2022-05-19
211,telephone,286,1,999,0,,0,1,2022-05-25
212,telephone,477,1,999,0,,0,1,2022-05-31
213,telephone,611,2,999,0,,0,1,2022-05-05
214,telephone,471,1,999,0,,0,1,2022-05-14
215,telephone,381,2,999,0,,0,1,2022-05-22
216,telephone,251,1,999,0,,0,1,2022-05-02
217,telephone,408,1,999,0,,0,1,2022-05-20
218,telephone,287,1,999,0,,0,1,2022-05-29
219,telephone,322,3,999,0,,0,1,2022-05-09
220,telephone,216,2,999,0,,0,1,2022-05-20
221,telephone,366,2,999,0,,0,1,2022-05-26
222,telephone,210,1,999,0,,0,1,2022-05-26
223,telephone,288,1,999,0,,0,1,2022-05-19
224,telephone,168,1,999,0,,0,1,2022-05-15
225,telephone,132,1,999,0,,0,1,2022-05-17
226,telephone,64,2,999,0,,0,1,2022-05-26
227,telephone,209,2,999,0,,0,1,2022-05-08
228,telephone,410,3,999,0,,0,1,2022-05-09
229,telephone,177,1,999,0,,0,1,2022-05-19
230,telephone,580,2,999,0,,0,1,2022-05-06
231,telephone,165,1,999,0,,0,1,2022-05-23
232,telephone,127,2,999,0,,0,1,2022-05-27
233,telephone,357,1,999,0,,0,1,2022-05-17
234,telephone,175,1,999,0,,0,1,2022-05-10
235,telephone,300,1,999,0,,0,1,2022-05-06
236,telephone,136,1,999,0,,0,1,2022-05-19
237,telephone,125,2,999,0,,0,1,2022-05-24
238,telephone,189,2,999,0,,0,1,2022-05-04
239,telephone,213,3,999,0,,0,1,2022-05-02
240,telephone,238,2,999,0,,0,1,2022-05-10
241,telephone,124,1,999,0,,0,1,2022-05-04
242,telephone,18,1,999,0,,0,1,2022-05-02
243,telephone,730,2,999,0,,0,1,2022-05-17
244,telephone,40,1,999,0,,0,1,2022-05-11
245,telephone,181,2,999,0,,0,1,2022-05-16
246,telephone,79,1,999,0,,0,1,2022-05-20
247,telephone,142,2,999,0,,0,1,2022-05-06
248,telephone,389,1,999,0,,0,1,2022-05-10
249,telephone,702,1,999,0,,0,1,2022-05-24
250,telephone,151,1,999,0,,0,1,2022-05-23
251,telephone,211,1,999,0,,0,1,2022-05-07
252,telephone,117,1,999,0,,0,1,2022-05-26
253,telephone,232,3,999,0,,0,1,2022-05-24
254,telephone,408,2,999,0,,0,1,2022-05-08
255,telephone,370,3,999,0,,0,1,2022-05-15
256,telephone,179,2,999,0,,0,1,2022-05-06
257,telephone,46,1,999,0,,0,1,2022-05-01
258,telephone,200,1,999,0,,0,1,2022-05-22
259,telephone,50,1,999,0,,0,1,2022-05-04
260,telephone,181,1,999,0,,0,1,2022-05-07
261,telephone,119,1,999,0,,0,1,2022-05-26
262,telephone,361,1,999,0,,0,1,2022-05-17
263,telephone,73,3,999,0,,0,1,2022-05-16
264,telephone,67,2,999,0,,0,1,2022-05-24
265,telephone,350,1,999,0,,0,1,2022-05-10
266,telephone,150,2,999,0,,0,1,2022-05-18
267,telephone,332,2,999,0,,0,1,2022-05-09
268,telephone,611,2,999,0,,0,1,2022-05-13
269,telephone,58,3,999,0,,0,1,2022-05-25
270,telephone,151,1,999,0,,0,1,2022-05-26
271,telephone,89,2,999,0,,0,1,2022-05-10
272,telephone,152,1,999,0,,0,1,2022-05-05
273,telephone,611,2,999,0,,0,1,2022-05-25
274,telephone,110,2,999,0,,0,1,2022-05-28
275,telephone,463,1,999,0,,0,1,2022-05-16
276,telephone,962,1,999,0,,0,1,2022-05-08
277,telephone,102,2,999,0,,0,1,2022-05-22
278,telephone,10,4,999,0,,0,1,2022-05-04
279,telephone,118,3,999,0,,0,1,2022-05-31
280,telephone,92,2,999,0,,0,1,2022-05-04
281,telephone,143,3,999,0,,0,1,2022-05-10
282,telephone,189,3,999,0,,0,1,2022-05-09
283,telephone,75,2,999,0,,0,1,2022-05-18
284,telephone,189,2,999,0,,0,1,2022-05-28
285,telephone,55,2,999,0,,0,1,2022-05-11
286,telephone,935,3,999,0,,1,1,2022-05-31
287,telephone,56,2,999,0,,0,1,2022-05-25
288,telephone,5,2,999,0,,0,1,2022-05-15
289,telephone,225,2,999,0,,0,1,2022-05-23
290,telephone,125,2,999,0,,0,1,2022-05-07
291,telephone,286,2,999,0,,0,1,2022-05-09
292,telephone,206,2,999,0,,0,1,2022-05-15
293,telephone,164,2,999,0,,0,1,2022-05-16
294,telephone,98,2,999,0,,0,1,2022-05-05
295,telephone,446,2,999,0,,0,1,2022-05-03
296,telephone,742,2,999,0,,0,1,2022-05-31
297,telephone,120,2,999,0,,0,1,2022-05-06
298,telephone,122,3,999,0,,0,1,2022-05-13
299,telephone,362,4,999,0,,0,1,2022-05-25
300,telephone,357,2,999,0,,0,1,2022-05-19
301,telephone,200,2,999,0,,0,1,2022-05-27
302,telephone,107,2,999,0,,0,1,2022-05-05
303,telephone,267,2,999,0,,0,1,2022-05-13
304,telephone,248,2,999,0,,0,1,2022-05-22
305,telephone,215,2,999,0,,0,1,2022-05-08
306,telephone,209,2,999,0,,0,1,2022-05-22
307,telephone,205,2,999,0,,0,1,2022-05-15
308,telephone,261,3,999,0,,0,1,2022-05-09
309,telephone,83,2,999,0,,0,1,2022-05-20
310,telephone,106,3,999,0,,0,1,2022-05-13
311,telephone,106,2,999,0,,0,1,2022-05-27
312,telephone,108,2,999,0,,0,1,2022-05-28
313,telephone,214,2,999,0,,0,1,2022-05-17
314,telephone,358,2,999,0,,0,1,2022-05-09
315,telephone,453,2,999,0,,0,1,2022-05-07
316,telephone,364,2,999,0,,0,1,2022-05-13
317,telephone,136,2,999,0,,0,1,2022-05-19
318,telephone,173,2,999,0,,0,1,2022-05-20
319,telephone,241,2,999,0,,0,1,2022-05-07
320,telephone,224,3,999,0,,0,1,2022-05-22
321,telephone,148,2,999,0,,0,1,2022-05-31
322,telephone,230,2,999,0,,0,1,2022-05-10
323,telephone,199,3,999,0,,0,1,2022-05-15
324,telephone,196,2,999,0,,0,1,2022-05-10
325,telephone,111,4,999,0,,0,1,2022-05-23
326,telephone,231,3,999,0,,0,1,2022-05-01
327,telephone,316,3,999,0,,0,1,2022-05-16
328,telephone,240,2,999,0,,0,1,2022-05-27
329,telephone,669,3,999,0,,0,1,2022-05-21
330,telephone,425,2,999,0,,0,1,2022-05-31
331,telephone,121,2,999,0,,0,1,2022-05-09
332,telephone,174,5,999,0,,0,1,2022-05-30
333,telephone,88,5,999,0,,0,1,2022-05-07
334,telephone,313,3,999,0,,0,1,2022-05-01
335,telephone,135,4,999,0,,0,1,2022-05-28
336,telephone,152,2,999,0,,0,1,2022-05-27
337,telephone,402,3,999,0,,0,1,2022-05-29
338,telephone,221,2,999,0,,0,1,2022-05-19
339,telephone,213,2,999,0,,0,1,2022-05-10
340,telephone,144,3,999,0,,0,1,2022-05-05
341,telephone,158,3,999,0,,0,1,2022-05-11
342,telephone,220,3,999,0,,0,1,2022-05-22
343,telephone,325,2,999,0,,0,1,2022-05-26
344,telephone,254,2,999,0,,0,1,2022-05-02
345,telephone,503,2,999,0,,0,1,2022-05-24
346,telephone,680,2,999,0,,0,1,2022-05-26
347,telephone,421,4,999,0,,0,1,2022-05-25
348,telephone,130,3,999,0,,0,1,2022-05-23
349,telephone,164,2,999,0,,0,1,2022-05-03
350,telephone,174,3,999,0,,0,1,2022-05-06
351,telephone,113,2,999,0,,0,1,2022-05-01
352,telephone,195,2,999,0,,0,1,2022-05-22
353,telephone,347,3,999,0,,0,1,2022-05-01
354,telephone,208,2,999,0,,0,1,2022-05-20
355,telephone,404,4,999,0,,0,1,2022-05-07
356,telephone,396,2,999,0,,0,1,2022-05-02
357,telephone,98,2,999,0,,0,1,2022-05-21
358,telephone,229,3,999,0,,0,1,2022-05-28
359,telephone,350,2,999,0,,0,1,2022-05-27
360,telephone,88,3,999,0,,0,1,2022-05-16
361,telephone,379,2,999,0,,0,1,2022-05-30
362,telephone,168,3,999,0,,0,1,2022-05-08
363,telephone,190,3,999,0,,0,1,2022-05-22
364,telephone,158,1,999,0,,0,1,2022-05-24
365,telephone,210,1,999,0,,0,1,2022-05-05
366,telephone,102,1,999,0,,0,1,2022-05-24
367,telephone,306,1,999,0,,0,1,2022-05-08
368,telephone,64,1,999,0,,0,1,2022-05-26
369,telephone,218,1,999,0,,0,1,2022-05-12
370,telephone,77,1,999,0,,0,1,2022-05-02
371,telephone,54,1,999,0,,0,1,2022-05-04
372,telephone,344,1,999,0,,0,1,2022-05-01
373,telephone,195,1,999,0,,0,1,2022-05-16
374,telephone,202,1,999,0,,0,1,2022-05-16
375,telephone,286,1,999,0,,0,1,2022-05-21
376,telephone,278,1,999,0,,0,1,2022-05-11
377,telephone,189,1,999,0,,0,1,2022-05-01
378,telephone,83,1,999,0,,0,1,2022-05-28
379,telephone,18,1,999,0,,0,1,2022-05-26
380,telephone,184,2,999,0,,0,1,2022-05-18
381,telephone,235,1,999,0,,0,1,2022-05-13
382,telephone,290,1,999,0,,0,1,2022-05-21
383,telephone,133,1,999,0,,0,1,2022-05-24
384,telephone,318,1,999,0,,0,1,2022-05-08
385,telephone,437,1,999,0,,0,1,2022-05-07
386,telephone,402,1,999,0,,0,1,2022-05-13
387,telephone,501,4,999,0,,0,1,2022-05-31
388,telephone,1201,1,999,0,,1,1,2022-05-02
389,telephone,1030,1,999,0,,1,1,2022-05-10
390,telephone,253,1,999,0,,0,1,2022-05-03
391,telephone,149,1,999,0,,0,1,2022-05-29
392,telephone,144,1,999,0,,0,1,2022-05-10
393,telephone,69,1,999,0,,0,1,2022-05-24
394,telephone,243,1,999,0,,0,1,2022-05-23
395,telephone,769,2,999,0,,0,1,2022-05-06
396,telephone,135,3,999,0,,0,1,2022-05-03
397,telephone,231,1,999,0,,0,1,2022-05-04
398,telephone,442,2,999,0,,0,1,2022-05-17
399,telephone,199,1,999,0,,0,1,2022-05-05
400,telephone,455,1,999,0,,0,1,2022-05-22
401,telephone,152,1,999,0,,0,1,2022-05-21
402,telephone,124,1,999,0,,0,1,2022-05-23
403,telephone,424,1,999,0,,0,1,2022-05-19
404,telephone,43,1,999,0,,0,1,2022-05-16
405,telephone,154,1,999,0,,0,1,2022-05-04
406,telephone,393,1,999,0,,0,1,2022-05-26
407,telephone,203,2,999,0,,0,1,2022-05-03
408,telephone,140,2,999,0,,0,1,2022-05-23
409,telephone,326,1,999,0,,0,1,2022-05-30
410,telephone,483,1,999,0,,0,1,2022-05-03
411,telephone,259,1,999,0,,0,1,2022-05-12
412,telephone,227,1,999,0,,0,1,2022-05-01
413,telephone,673,1,999,0,,0,1,2022-05-01
414,telephone,576,1,999,0,,0,1,2022-05-23
415,telephone,180,2,999,0,,0,1,2022-05-24
416,telephone,90,1,999,0,,0,1,2022-05-18
417,telephone,505,1,999,0,,0,1,2022-05-22
418,telephone,245,1,999,0,,0,1,2022-05-03
419,telephone,186,1,999,0,,0,1,2022-05-23
420,telephone,208,1,999,0,,0,1,2022-05-05
421,telephone,623,1,999,0,,0,1,2022-05-30
422,telephone,180,1,999,0,,0,1,2022-05-08
423,telephone,496,3,999,0,,0,1,2022-05-11
424,telephone,118,1,999,0,,0,1,2022-05-20
425,telephone,102,2,999,0,,0,1,2022-05-16
426,telephone,342,1,999,0,,0,1,2022-05-09
427,telephone,225,1,999,0,,0,1,2022-05-01
428,telephone,185,3,999,0,,0,1,2022-05-03
429,telephone,276,1,999,0,,0,1,2022-05-12
430,telephone,87,1,999,0,,0,1,2022-05-29
431,telephone,744,1,999,0,,0,1,2022-05-13
432,telephone,262,1,999,0,,0,1,2022-05-22
433,telephone,271,1,999,0,,0,1,2022-05-25
434,telephone,141,1,999,0,,0,1,2022-05-26
435,telephone,198,2,999,0,,0,1,2022-05-05
436,telephone,150,1,999,0,,0,1,2022-05-13
437,telephone,241,1,999,0,,0,1,2022-05-22
438,telephone,196,1,999,0,,0,1,2022-05-18
439,telephone,149,1,999,0,,0,1,2022-05-18
440,telephone,264,1,999,0,,0,1,2022-05-11
441,telephone,246,1,999,0,,0,1,2022-05-22
442,telephone,309,2,999,0,,0,1,2022-05-27
443,telephone,140,1,999,0,,0,1,2022-05-20
444,telephone,175,1,999,0,,0,1,2022-05-13
445,telephone,136,1,999,0,,0,1,2022-05-07
446,telephone,1623,1,999,0,,1,1,2022-05-29
447,telephone,50,1,999,0,,0,1,2022-05-16
448,telephone,101,1,999,0,,0,1,2022-05-15
449,telephone,144,1,999,0,,0,1,2022-05-09
450,telephone,238,1,999,0,,0,1,2022-05-17
451,telephone,354,1,999,0,,0,1,2022-05-13
452,telephone,451,2,999,0,,0,1,2022-05-07
453,telephone,159,1,999,0,,0,1,2022-05-23
454,telephone,170,1,999,0,,0,1,2022-05-19
455,telephone,243,1,999,0,,0,1,2022-05-30
456,telephone,141,2,999,0,,0,1,2022-05-03
457,telephone,112,1,999,0,,0,1,2022-05-08
458,telephone,262,2,999,0,,0,1,2022-05-01
459,telephone,53,1,999,0,,0,1,2022-05-09
460,telephone,134,1,999,0,,0,1,2022-05-25
461,telephone,204,4,999,0,,0,1,2022-05-21
462,telephone,678,1,999,0,,0,1,2022-05-22
463,telephone,182,1,999,0,,0,1,2022-05-18
464,telephone,162,1,999,0,,0,1,2022-05-26
465,telephone,177,1,999,0,,0,1,2022-05-05
466,telephone,27,1,999,0,,0,1,2022-05-12
467,telephone,699,3,999,0,,0,1,2022-05-20
468,telephone,358,1,999,0,,0,1,2022-05-13
469,telephone,1677,1,999,0,,1,1,2022-05-18
470,telephone,529,1,999,0,,0,1,2022-05-10
471,telephone,310,1,999,0,,0,1,2022-05-04
472,telephone,47,1,999,0,,0,1,2022-05-11
473,telephone,379,1,999,0,,0,1,2022-05-16
474,telephone,30,2,999,0,,0,1,2022-05-30
475,telephone,472,1,999,0,,0,1,2022-05-22
476,telephone,113,1,999,0,,0,1,2022-05-06
477,telephone,114,1,999,0,,0,1,2022-05-27
478,telephone,116,1,999,0,,0,1,2022-05-03
479,telephone,448,1,999,0,,0,1,2022-05-23
480,telephone,264,1,999,0,,0,1,2022-05-05
481,telephone,169,1,999,0,,0,1,2022-05-16
482,telephone,145,1,999,0,,0,1,2022-05-04
483,telephone,288,1,999,0,,0,1,2022-05-24
484,telephone,381,1,999,0,,0,1,2022-05-31
485,telephone,176,2,999,0,,0,1,2022-05-30
486,telephone,215,1,999,0,,0,1,2022-05-02
487,telephone,278,1,999,0,,0,1,2022-05-06
488,telephone,188,2,999,0,,0,1,2022-05-02
489,telephone,174,2,999,0,,0,1,2022-05-06
490,telephone,226,2,999,0,,0,1,2022-05-18
491,telephone,111,2,999,0,,0,1,2022-05-17
492,telephone,157,2,999,0,,0,1,2022-05-10
493,telephone,46,1,999,0,,0,1,2022-05-28
494,telephone,49,1,999,0,,0,1,2022-05-29
495,telephone,374,1,999,0,,0,1,2022-05-16
496,telephone,349,1,999,0,,0,1,2022-05-01
497,telephone,325,1,999,0,,0,1,2022-05-16
498,telephone,233,2,999,0,,0,1,2022-05-10
499,telephone,531,1,999,0,,0,1,2022-05-02
500,telephone,153,1,999,0,,0,1,2022-05-19
501,telephone,80,1,999,0,,0,1,2022-05-04
502,telephone,198,1,999,0,,0,1,2022-05-25
503,telephone,568,1,999,0,,0,1,2022-05-08
504,telephone,918,1,999,0,,1,1,2022-05-31
505,telephone,82,1,999,0,,0,1,2022-05-10
506,telephone,198,3,999,0,,0,1,2022-05-10
507,telephone,211,1,999,0,,0,1,2022-05-11
508,telephone,120,1,999,0,,0,1,2022-05-12
509,telephone,269,1,999,0,,0,1,2022-05-25
510,telephone,128,1,999,0,,0,1,2022-05-09
511,telephone,166,2,999,0,,0,1,2022-05-17
512,telephone,211,1,999,0,,0,1,2022-05-19
513,telephone,369,1,999,0,,0,1,2022-05-11
514,telephone,91,1,999,0,,0,1,2022-05-21
515,telephone,267,2,999,0,,0,1,2022-05-04
516,telephone,198,1,999,0,,0,1,2022-05-28
517,telephone,371,2,999,0,,0,1,2022-05-08
518,telephone,288,2,999,0,,0,1,2022-05-11
519,telephone,221,1,999,0,,0,1,2022-05-08
520,telephone,427,1,999,0,,0,1,2022-05-01
521,telephone,310,1,999,0,,0,1,2022-05-23
522,telephone,158,1,999,0,,0,1,2022-05-04
523,telephone,198,1,999,0,,0,1,2022-05-19
524,telephone,145,1,999,0,,0,1,2022-05-02
525,telephone,247,1,999,0,,0,1,2022-05-04
526,telephone,102,1,999,0,,0,1,2022-05-07
527,telephone,179,2,999,0,,0,1,2022-05-06
528,telephone,73,1,999,0,,0,1,2022-05-16
529,telephone,263,2,999,0,,0,1,2022-05-22
530,telephone,342,2,999,0,,0,1,2022-05-07
531,telephone,41,1,999,0,,0,1,2022-05-25
532,telephone,13,1,999,0,,0,1,2022-05-16
